CART_099655;B;[1, 2, 5, 7, 9];I;[1, 4, 10, 12, 14];N;[1, 4, 6, 7, 12];G;[4, 7, 8, 11, 14];O;[4, 5, 10, 12, 14];
CART_090063;B;[3, 5, 7, 9, 13];I;[5, 6, 8, 9, 12];N;[1, 5, 6, 7, 14];G;[2, 5, 10, 11, 12];O;[2, 3, 4, 9, 13];
CART_024635;B;[2, 3, 7, 8, 14];I;[3, 4, 8, 9, 13];N;[3, 5, 6, 9, 11];G;[3, 4, 7, 8, 10];O;[3, 5, 7, 9, 12];
CART_034330;B;[1, 3, 9, 12, 14];I;[1, 3, 4, 8, 9];N;[2, 8, 10, 11, 13];G;[1, 2, 5, 7, 11];O;[2, 3, 8, 11, 13];
CART_067109;B;[1, 4, 6, 8, 14];I;[3, 4, 6, 11, 13];N;[1, 5, 6, 7, 14];G;[2, 3, 7, 9, 12];O;[1, 9, 11, 13, 14];
CART_035584;B;[2, 3, 6, 9, 13];I;[1, 2, 6, 9, 11];N;[1, 2, 4, 8, 11];G;[1, 2, 5, 6, 11];O;[3, 4, 5, 7, 8];
CART_010619;B;[1, 4, 6, 12, 14];I;[2, 5, 7, 8, 13];N;[1, 2, 4, 5, 10];G;[1, 3, 4, 9, 14];O;[2, 4, 8, 12, 14];
CART_006992;B;[3, 5, 6, 10, 13];I;[3, 4, 8, 10, 13];N;[3, 5, 8, 11, 12];G;[3, 4, 6, 12, 14];O;[5, 8, 9, 10, 14];
CART_010661;B;[1, 4, 6, 9, 13];I;[2, 5, 6, 7, 14];N;[2, 5, 7, 11, 13];G;[1, 3, 6, 9, 10];O;[1, 4, 5, 6, 12];
CART_048410;B;[2, 4, 12, 13, 14];I;[2, 6, 7, 11, 12];N;[1, 3, 7, 10, 11];G;[4, 5, 6, 8, 10];O;[2, 4, 8, 12, 13];
